ZipCode,Condition,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98023,3,80000.0,81950.0,83095.0,84280.0,90475.0,101325.0,114925.0,112500.0,136950.0,153750.0,142000.0,144150.0,144594.0,144000.0,152500.0,160860.0,167500.0,175200.0,187925.0,195000.0,207000.0,225000.0,253400.0,286750.0,324700.0,360250.0,319000.0,278000.0,253525.0,220000.0,220000.0,235000.0,264500.0,282950.0,329950.0,361250.0,389000.0,402000.0,450000.0,560000.0,625000.0
98023,4,83000.0,82675.0,79000.0,82250.0,79900.0,87750.0,86200.0,100000.0,132475.0,126000.0,121975.0,125000.0,130000.0,129950.0,134000.0,139200.0,145000.0,160000.0,169975.0,180000.0,187000.0,199950.0,221000.0,254975.0,295000.0,305000.0,276500.0,230000.0,230000.0,188000.0,185000.0,229500.0,243946.0,272500.0,310000.0,346000.0,375000.0,402000.0,450000.0,539000.0,600000.0
98023,5,94500.0,67475.0,84250.0,84000.0,71250.0,79950.0,97975.0,110000.0,124500.0,135250.0,126800.0,133000.0,119000.0,124000.0,133300.0,131500.0,149500.0,159475.0,166825.0,185000.0,178864.0,193500.0,222245.0,257075.0,286000.0,289225.0,289000.0,235500.0,247725.0,166500.0,178500.0,203000.0,224498.5,246600.0,296425.0,344950.0,370750.0,418000.0,440000.0,560000.0,575000.0
98024,1,,,,,,,,,,,,,135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98024,2,,,,,50000.0,,,95750.0,,,,,,,,,213500.0,390000.0,160000.0,,158000.0,,180000.0,,,,,,,,255000.0,,140000.0,,,,,,,525000.0,
98024,3,77500.0,61250.0,78500.0,140000.0,76450.0,90225.0,99500.0,136500.0,225000.0,157475.0,160000.0,185500.0,206500.0,214750.0,229500.0,226950.0,245000.0,314000.0,397000.0,310000.0,352900.0,379000.0,437000.0,512250.0,581500.0,512500.0,539975.0,457450.0,500000.0,439950.0,400000.0,482662.0,549912.0,565000.0,599975.0,708500.0,770000.0,765000.0,967500.0,980000.0,1450000.0
98024,4,76900.0,72000.0,141000.0,64000.0,82000.0,105175.0,85250.0,134975.0,135250.0,166500.0,165000.0,203500.0,139000.0,189500.0,142997.5,207500.0,245950.0,228000.0,328000.0,230000.0,312000.0,273000.0,356000.0,386000.0,392000.0,600000.0,524975.0,457000.0,311500.0,375000.0,410000.0,437000.0,432500.0,416000.0,475000.0,595000.0,647500.0,800000.0,820444.0,875000.0,915000.0
98024,5,65000.0,,,,78750.0,,25000.0,134750.0,136500.0,65800.0,127000.0,126794.0,146000.0,163000.0,149125.0,163000.0,189950.0,162250.0,290000.0,207000.0,222500.0,210725.0,285000.0,290000.0,393500.0,454000.0,362000.0,399200.0,260250.0,285034.0,269050.0,317700.0,358104.0,405000.0,470000.0,457911.0,547500.0,612000.0,739700.0,877450.0,1291570.0
98025,3,,,,,,,,,,,,,,,,,,,,,,,,,865614.0,,,,,,,,,,,,,,,,
98026,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000.0,,,,,,
